ID,Zvalue
64792,11.04918712
5580,10.99524785
85352,10.82869123
64881,10.81691096
9215,10.80757041
51559,10.79697133
84303,10.75769831
9750,10.6593692
203068,10.64122065
5950,10.59254182
57718,10.51221725
84062,10.49229179
6622,10.37959005
4856,10.37875544
51375,10.36025098
347902,10.33741636
117154,10.29175133
53826,10.28739904
5092,10.25791751
4062,10.24578557
79017,10.24526765
6751,10.23334981
90488,10.21815556
9615,10.02350696
55022,9.951548221
79645,9.828010116
8447,9.797027555
22881,9.79087378
5569,9.722814151
56655,9.608029658
643037,9.458971832
134121,9.451364256
8938,9.38634099
139728,9.21839418
116443,9.18361192
6750,9.173273236
5874,9.121941085
170685,9.099346082
54550,9.094067773
1397,9.076791059
642273,9.070042111
55885,9.051543333
2764,9.041483327
7480,9.023410383
6545,8.995433917
1949,8.995153298
80213,8.96776289
349136,8.956977285
51760,8.944408514
220164,8.896116303
5475,8.893737766
808,8.88596841
100288911,8.881353735
2558,8.795940779
6604,8.795050166
51506,8.775789645
55800,8.758583385
165215,8.750826661
3995,8.698866109
55521,8.685351991
254778,8.652065864
3363,8.639430284
55190,8.636579982
5733,8.625910871
339524,8.619951967
284611,8.615609561
131375,8.604144895
83445,8.566344485
5188,8.558281968
7280,8.556454268
55530,8.544633308
23787,8.54007564
9308,8.493934939
55968,8.428205994
340348,8.408643941
1809,8.393693524
143162,8.3909012
8988,8.381436123
55122,8.371971387
4129,8.32364685
4923,8.311421334
9535,8.301955506
2596,8.269841168
57146,8.257521563
26519,8.232109922
196383,8.202222032
200942,8.197719278
2786,8.195354385
59345,8.165145963
1069,8.156067973
646627,8.111638573
396,8.111145521
115827,8.061408967
398,8.057889084
27077,8.042786604
22808,8.013861937
9168,7.989018386
56954,7.984370277
139221,7.98185813
84830,7.980303303
10590,7.978215206
6920,7.962356599
6588,7.956420846
7347,7.952122786
10383,7.911858772
55013,7.900430025
887,7.851828674
6585,7.846947177
57110,7.836110755
51538,7.799689381
167681,7.772866478
55466,7.755325361
1428,7.730669893
118812,7.710380928
10040,7.688725564
27132,7.684618691
4988,7.670798229
51706,7.654660863
28985,7.650449457
132160,7.640866079
5650,7.640075883
51527,7.62834033
3265,7.617916089
91523,7.608222412
2281,7.601829255
83643,7.591776274
11163,7.584541671
56884,7.583416539
3741,7.583004192
54976,7.578362575
8655,7.573425756
65997,7.560373054
84324,7.55695069
5999,7.554825904
1675,7.554669292
6860,7.553938125
27258,7.523847437
55086,7.51126499
27345,7.510266124
100093630,7.503841991
79078,7.496157904
8715,7.492435747
55068,7.490849425
2996,7.484609444
7170,7.476771455
2556,7.469548403
10302,7.464222778
430,7.46338595
400120,7.453790736
6567,7.418423241
57484,7.415278521
1268,7.414725085
2173,7.414226308
166752,7.407850254
26996,7.403762815
126792,7.399945921
64131,7.397896672
23576,7.394977434
10947,7.389840397
3049,7.372740653
